TotalOrderValue,AverageOrderValue,Quantity,Cluster_KMeans,Cluster_DBSCAN
17.85,20.825,3,0,0
15.9,42.81666666666667,2,0,0
14.850000000000001,7.92,3,0,0
12.75,14.166666666666666,3,0,0
17.700000000000003,14.750000000000004,6,0,0
19.799999999999997,16.0875,12,0,0
5.04,5.67,12,0,0
10.2,10.2,12,0,0
17.4,23.94285714285714,12,0,0
10.2,8.5,12,0,0
27.0,16.875,4,0,0
19.799999999999997,14.41206896551724,12,0,0
19.799999999999997,13.199999999999998,12,0,0
51.0,29.0,6,0,0
39.6,44.55,8,0,0
15.0,35.01615384615385,12,0,0
32.7,112.9,6,0,0
25.4,25.4,4,0,0
35.7,16.150000000000002,6,0,0
17.85,11.9,3,0,0
17.0,14.571428571428571,2,0,0
15.0,25.27173913043478,4,0,0
15.0,33.45,4,0,0
17.0,17.0,2,0,0
17.0,25.5,2,0,0
39.599999999999994,11.785714285714283,24,0,0
20.4,6.941666666666666,24,0,0
17.0,29.0,2,0,0
45.0,20.427083333333332,12,0,0
17.4,16.529999999999998,12,0,0
34.56,13.146,48,0,0
34.56,12.105454545454545,48,0,0
68.0,34.4125,8,0,0
92.16,24.892,144,0,0
102.0,32.27375,40,0,0
28.8,6.27,288,0,-1
163.2,47.973076923076924,64,0,0
72.0,14.549999999999999,100,0,0
72.5,24.488461538461536,50,0,0
51.0,19.307142857142857,12,0,0
61.44,21.527142857142856,96,0,0
61.44,30.047272727272727,96,0,0
31.200000000000003,11.555555555555557,48,0,0
46.08,11.082857142857142,144,0,0
198.0,39.625,40,0,0
102.0,20.514,24,0,0
81.36,22.020857142857142,24,0,0
90.0,23.45,24,0,0
71.03999999999999,12.659999999999998,48,0,0
120.0,23.94285714285714,96,0,0
165.0,47.352,100,0,0
-19.799999999999997,11.549999999999999,-12,0,0
-6.959999999999999,3.5524999999999993,-24,0,0
-6.959999999999999,3.479999999999999,-24,0,0
-6.959999999999999,3.8988888888888886,-24,0,0
-41.400000000000006,14.615625,-12,0,0
-19.799999999999997,9.292105263157893,-12,0,0
-39.599999999999994,5.857499999999999,-24,0,0
11.7,8.233333333333333,6,0,0
15.0,36.0375,4,0,0
15.0,7.34375,12,0,0
15.0,11.931818181818182,12,0,0
165.0,165.0,1,0,-1
15.0,15.0,12,0,0
15.0,26.25,12,0,0
23.8,36.111111111111114,4,0,0
27.04,45.49677419354838,16,0,0
15.600000000000001,8.450000000000001,24,0,0
79.6,39.8,8,0,0
10.08,11.16,24,0,0
177.60000000000002,17.621052631578948,96,0,0
177.60000000000002,24.438461538461542,96,0,0
177.60000000000002,24.629411764705885,96,0,0
177.60000000000002,17.526315789473685,96,0,0
59.400000000000006,20.514,12,0,0
45.0,24.375,12,0,0
60.0,20.83,48,0,0
25.200000000000003,23.362500000000004,12,0,0
81.6,47.973076923076924,32,0,0
33.0,12.375,20,0,0
31.6,31.055,8,0,0
54.08,45.49677419354838,32,0,0
13.200000000000001,13.465384615384616,24,0,0
13.200000000000001,9.767857142857142,24,0,0
13.200000000000001,15.998,24,0,0
27.6,14.615625,8,0,0
16.8,37.5,8,0,0
15.0,18.28125,4,0,0
30.0,33.45,8,0,0
30.0,15.681818181818182,8,0,0
30.0,25.27173913043478,8,0,0
31.6,22.419642857142858,8,0,0
100.80000000000001,32.22162162162162,48,0,0
100.80000000000001,24.438461538461542,48,0,0
15.299999999999999,47.973076923076924,6,0,0
20.34,23.81,6,0,0
22.0,18.38,8,0,0
29.700000000000003,35.1875,6,0,0
29.700000000000003,34.4,6,0,0
6.36,10.708181818181819,6,0,0
6.36,5.41,6,0,0
6.36,8.222777777777777,6,0,0
6.36,7.2975,6,0,0
9.9,19.536363636363635,2,0,0
27.8,21.469047619047622,4,0,0
12.600000000000001,13.206521739130435,6,0,0
30.599999999999998,16.0125,12,0,0
20.34,22.020857142857142,6,0,0
20.34,57.47153846153847,6,0,0
15.3,61.62500000000001,2,0,0
71.5,75.96875,2,0,0
25.5,24.56578947368421,6,0,0
55.800000000000004,9.5,12,0,0
223.20000000000002,112.9,48,0,-1
6.959999999999999,3.8988888888888886,24,0,0
17.700000000000003,17.700000000000003,6,0,0
27.0,17.55,4,0,0
20.4,13.677272727272726,8,0,0
51.0,61.62500000000001,6,0,0
15.9,17.224999999999998,2,0,0
25.200000000000003,17.526315789473685,12,0,0
25.200000000000003,24.438461538461542,12,0,0
25.200000000000003,24.629411764705885,12,0,0
15.0,54.925714285714285,12,0,0
19.799999999999997,13.749999999999998,12,0,0
20.1,15.792857142857144,6,0,0
15.8,22.419642857142858,4,0,0
37.2,20.00769230769231,8,0,0
44.550000000000004,31.378846153846155,9,0,0
15.0,20.636785714285715,4,0,0
44.550000000000004,27.57857142857143,9,0,0
11.100000000000001,17.526315789473685,6,0,0
11.100000000000001,17.621052631578948,6,0,0
17.4,23.94285714285714,12,0,0
2.55,6.0562499999999995,1,0,0
1.25,1.875,1,0,0
2.5,1.5,2,0,0
2.95,13.275,1,0,0
3.35,11.30625,1,0,0
1.45,17.581249999999997,1,0,0
1.25,1.25,1,0,0
2.5,7.34375,2,0,0
1.65,5.683333333333333,1,0,0
5.8,16.529999999999998,4,0,0
1.25,1.25,1,0,0
4.95,11.137500000000001,1,0,0
7.5,11.25,2,0,0
2.5,9.166666666666666,2,0,0
19.9,14.924999999999999,2,0,0
9.95,26.53333333333333,1,0,0
5.95,3.966666666666667,1,0,0
4.25,6.375,1,0,0
14.850000000000001,14.850000000000001,3,0,0
2.55,10.928571428571429,1,0,0
2.95,2.95,1,0,0
3.38,7.967142857142858,2,0,0
7.95,24.825,1,0,0
0.55,4.05625,1,0,0
0.55,3.3,1,0,0
1.1,3.1900000000000004,2,0,0
11.8,21.633333333333336,4,0,0
4.2,8.4,2,0,0
2.1,3.9900000000000007,1,0,0
1.25,39.253750000000004,1,0,0
0.85,0.85,1,0,0
1.6500000000000001,9.767857142857142,3,0,0
2.95,10.570833333333335,1,0,0
2.95,10.488888888888889,1,0,0
2.5,7.5,2,0,0
3.75,5.535714285714286,3,0,0
1.25,20.13888888888889,1,0,0
1.25,23.958333333333332,1,0,0
3.3,3.3,2,0,0
5.9,54.56666666666666,2,0,0
5.9,5.9,2,0,0
5.95,5.95,1,0,0
1.25,8.055555555555555,1,0,0
5.1,13.515,2,0,0
7.6499999999999995,6.8,9,0,0
1.65,10.083333333333334,1,0,0
11.8,47.973076923076924,4,0,0
8.850000000000001,8.850000000000001,3,0,0
5.95,19.536363636363635,1,0,0
7.95,30.323076923076922,1,0,0
1.65,22.714285714285715,1,0,0
3.3,8.4,2,0,0
1.65,11.296153846153846,1,0,0
1.65,19.77777777777778,1,0,0
12.75,31.745454545454546,5,0,0
8.850000000000001,15.733333333333334,3,0,0
8.850000000000001,5.900000000000001,3,0,0
22.95,22.95,9,0,0
16.95,46.849999999999994,1,0,0
11.8,19.175,4,0,0
10.65,10.65,1,0,0
4.25,23.45,1,0,0
13.9,18.533333333333335,2,0,0
11.9,36.111111111111114,2,0,0
102.0,31.150000000000002,40,0,0
102.0,32.27375,40,0,0
153.0,34.34464285714286,36,0,0
177.60000000000002,32.22162162162162,96,0,0
15.0,47.94444444444444,1,0,0
30.0,11.625,24,0,0
15.0,20.3125,12,0,0
15.0,16.666666666666668,12,0,0
15.0,15.0,12,0,0
15.0,13.75,12,0,0
19.799999999999997,14.41206896551724,12,0,0
30.599999999999998,14.549999999999999,36,0,0
15.0,11.5625,12,0,0
15.0,8.125,12,0,0
15.0,6.5625,12,0,0
15.0,12.083333333333334,12,0,0
15.0,7.34375,12,0,0
15.0,8.035714285714286,12,0,0
10.2,10.2,12,0,0
10.2,10.2,12,0,0
10.2,10.2,12,0,0
15.0,5.5,12,0,0
15.0,5.535714285714286,12,0,0
25.200000000000003,11.9,12,0,0
13.200000000000001,6.875000000000001,24,0,0
13.200000000000001,11.791666666666666,24,0,0
13.200000000000001,15.998,24,0,0
13.200000000000001,9.55625,24,0,0
13.200000000000001,13.530000000000001,24,0,0
16.5,18.81,10,0,0
16.5,20.058333333333334,10,0,0
16.5,27.867857142857144,10,0,0
39.599999999999994,11.715,24,0,0
326.4,27.147222222222222,128,0,-1
20.4,47.973076923076924,8,0,0
27.12,23.81,8,0,0
22.0,18.38,8,0,0
29.700000000000003,34.4,6,0,0
6.36,10.708181818181819,6,0,0
6.36,5.41,6,0,0
6.36,8.222777777777777,6,0,0
6.36,7.2975,6,0,0
19.8,19.536363636363635,4,0,0
27.8,21.469047619047622,4,0,0
12.600000000000001,13.206521739130435,6,0,0
15.299999999999999,16.0125,6,0,0
20.34,22.020857142857142,6,0,0
20.34,57.47153846153847,6,0,0
15.3,61.62500000000001,2,0,0
71.5,75.96875,2,0,0
25.5,24.56578947368421,6,0,0
11.100000000000001,17.526315789473685,6,0,0
11.100000000000001,17.621052631578948,6,0,0
10.08,3.64,24,0,0
10.08,9.12,24,0,0
10.2,5.464285714285714,12,0,0
19.799999999999997,19.799999999999997,12,0,0
15.0,138.48076923076923,12,0,1
15.0,18.958333333333332,12,0,0
10.2,6.516666666666667,12,0,0
23.4,11.7,12,0,0
15.8,22.419642857142858,4,0,0
15.0,57.47153846153847,4,0,0
15.0,20.636785714285715,4,0,0
12.600000000000001,11.9,6,0,0
25.200000000000003,24.230769230769234,12,0,0
20.4,19.72,24,0,0
15.0,22.1875,12,0,0
11.399999999999999,10.314285714285713,12,0,0
17.700000000000003,33.702777777777776,6,0,0
19.799999999999997,24.749999999999996,12,0,0
9.899999999999999,49.67999999999999,6,0,0
15.9,48.225,2,0,0
15.9,77.72142857142856,2,0,0
19.799999999999997,10.724999999999998,12,0,0
10.2,8.5,12,0,0
13.52,45.49677419354838,8,0,0
17.85,26.42058823529412,3,0,0
17.85,20.825,3,0,0
23.6,13.275,8,0,0
30.599999999999998,30.599999999999998,36,0,0
5.04,5.04,12,0,0
10.5,10.5,25,0,0
17.0,7.285714285714286,4,0,0
17.85,16.150000000000002,3,0,0
17.85,11.9,3,0,0
22.5,25.416666666666668,6,0,0
13.200000000000001,15.998,24,0,0
17.4,14.1375,12,0,0
14.850000000000001,11.137500000000001,3,0,0
19.799999999999997,5.857499999999999,12,0,0
6.3,9.641250000000001,30,0,0
5.04,5.04,12,0,0
23.4,15.989999999999998,12,0,0
15.299999999999999,57.871875,6,0,0
30.599999999999998,13.515,12,0,0
16.5,8.25,10,0,0
23.400000000000002,36.225,36,0,0
15.0,10.714285714285714,12,0,0
15.0,36.0375,4,0,0
19.799999999999997,10.45,12,0,0
19.049999999999997,12.699999999999998,3,0,0
3.75,20.636785714285715,1,0,0
4.95,27.57857142857143,1,0,0
6.75,13.5,1,0,0
1.25,9.75,1,0,0
1.65,10.083333333333332,1,0,0
2.1,24.438461538461542,1,0,0
3.75,20.007857142857144,1,0,0
2.1,27.0,1,0,0
2.1,2.1,1,0,0
2.95,10.816666666666668,1,0,0
1.25,1.25,1,0,0
1.25,8.125,1,0,0
2.95,2.95,1,0,0
2.95,2.95,1,0,0
6.35,12.699999999999998,1,0,0
7.95,13.25,1,0,0
4.25,11.333333333333334,1,0,0
3.75,20.598000000000003,1,0,0
10.5,27.0,5,0,0
0.42,4.8,1,0,0
1.25,4.583333333333333,1,0,0
6.75,22.5,1,0,0
5.1,2.9749999999999996,6,0,0
5.1,5.1,6,0,0
2.95,5.900000000000001,1,0,0
8.850000000000001,15.733333333333334,3,0,0
3.9,15.762500000000001,2,0,0
15.0,22.5,12,0,0
5.88,3.9899999999999998,28,0,0
2.88,6.27,24,0,0
5.95,5.95,1,0,0
1.25,1.25,1,0,0
1.65,19.237499999999997,1,0,0
1.25,1.25,1,0,0
7.800000000000001,14.725000000000001,12,0,0
5.95,5.95,1,0,0
1.65,1.65,1,0,0
2.95,13.275000000000002,1,0,0
1.95,19.22142857142857,1,0,0
2.5,5.535714285714286,2,0,0
4.95,8.25,1,0,0
12.7,12.699999999999998,2,0,0
2.1,17.621052631578948,1,0,0
2.1,24.438461538461542,1,0,0
1.65,24.488461538461536,1,0,0
4.35,6.1625,3,0,0
4.35,3.8666666666666667,3,0,0
2.52,1.47,6,0,0
1.7,14.549999999999999,2,0,0
3.9,47.352,2,0,0
1.95,17.82857142857143,1,0,0
1.25,1.25,1,0,0
0.85,3.06,1,0,0
2.95,13.275000000000002,1,0,0
3.4799999999999995,3.8988888888888886,12,0,0
4.95,27.57857142857143,1,0,0
4.95,31.378846153846155,1,0,0
4.949999999999999,20.058333333333334,3,0,0
4.949999999999999,8.4,3,0,0
2.95,33.76111111111111,1,0,0
6.6,10.083333333333334,4,0,0
4.949999999999999,18.81,3,0,0
4.949999999999999,27.867857142857144,3,0,0
2.95,35.487500000000004,1,0,0
2.95,5.1625000000000005,1,0,0
1.95,17.304545454545455,1,0,0
1.95,31.66363636363636,1,0,0
1.69,5.633333333333333,1,0,0
1.69,5.633333333333333,1,0,0
1.69,1.69,1,0,0
1.69,7.6049999999999995,1,0,0
2.95,5.1625000000000005,1,0,0
2.95,7.080000000000001,1,0,0
12.75,21.8875,3,0,0
8.25,12.375,5,0,0
1.65,10.724999999999998,1,0,0
6.5,7.15,10,0,0
2.95,8.85,1,0,0
1.65,11.632499999999999,1,0,0
3.75,7.34375,3,0,0
34.8,16.529999999999998,24,0,0
3.3,2.6399999999999997,2,0,0
13.950000000000001,34.34464285714286,3,0,0
7.5,17.307692307692307,2,0,0
4.25,21.8875,1,0,0
3.75,17.307692307692307,1,0,0
3.3,11.632499999999999,2,0,0
5.9,8.85,2,0,0
1.25,7.34375,1,0,0
9.899999999999999,11.219999999999999,6,0,0
2.1,7.05,1,0,0
4.2,7.041176470588236,2,0,0
4.949999999999999,11.219999999999999,3,0,0
11.549999999999999,11.632499999999999,7,0,0
1.65,2.6399999999999997,1,0,0
8.25,10.724999999999998,5,0,0
8.25,13.199999999999998,5,0,0
15.0,7.34375,12,0,0
8.25,64.8,5,0,0
1.65,11.219999999999999,1,0,0
5.9,8.850000000000001,2,0,0
14.75,8.85,5,0,0
5.9,23.385714285714283,2,0,0
2.95,7.080000000000001,1,0,0
5.9,7.211111111111112,2,0,0
3.75,17.307692307692307,1,0,0
7.5,18.333333333333332,2,0,0
0.95,1.6108695652173912,1,0,0
5.9,7.080000000000001,2,0,0
11.25,20.007857142857144,3,0,0
2.1,7.05,1,0,0
2.1,7.041176470588236,1,0,0
11.25,15.0,3,0,0
7.5,19.903846153846153,2,0,0
1.65,2.6399999999999997,1,0,0
2.95,31.150000000000002,1,0,0
7.5,19.903846153846153,2,0,0
3.3,2.6399999999999997,2,0,0
39.8,34.4125,4,0,0
14.700000000000001,9.24,7,0,0
3.3,2.6399999999999997,2,0,0
14.700000000000001,9.24,7,0,0
4.95,4.95,1,0,0
4.95,4.95,1,0,0
4.95,4.95,1,0,0
13.5,48.81,2,0,0
4.25,14.549999999999999,5,0,0
5.9,13.275000000000002,2,0,0
4.95,4.95,1,0,0
13.5,17.55,2,0,0
1.65,22.714285714285715,1,0,0
2.95,13.766666666666667,1,0,0
4.95,4.95,1,0,0
5.9,13.275000000000002,2,0,0
4.95,4.95,1,0,0
7.5,13.461538461538462,6,0,0
2.95,13.766666666666667,1,0,0
7.95,24.910000000000004,1,0,0
5.5,8.7725,10,0,0
14.75,32.27375,5,0,0
4.949999999999999,6.0,3,0,0
4.949999999999999,14.025,3,0,0
4.949999999999999,8.25,3,0,0
4.25,13.614117647058823,5,0,0
2.5,2.5,2,0,0
14.75,-16.809999999999995,5,0,0
4.35,9.183333333333334,3,0,0
2.95,17.490384615384617,1,0,0
5.95,-85.15,1,0,-1
8.25,14.41206896551724,5,0,0
5.8,8.658333333333333,4,0,0
5.1,-2.4709090909090907,6,0,0
3.75,35.01615384615385,3,0,0
10.5,8.793750000000001,5,0,0
2.55,17.129230769230766,3,0,0
8.4,8.723076923076924,4,0,0
8.850000000000001,13.275000000000002,3,0,0
4.35,16.529999999999998,3,0,0
10.2,7.862499999999999,12,0,0
4.25,15.725,5,0,0
3.4,10.412500000000001,4,0,0
5.1,9.774999999999999,6,0,0
3.4799999999999995,5.219999999999999,12,0,0
7.5,15.0,2,0,0
3.4799999999999995,17.544999999999998,12,0,0
1.25,15.178571428571429,1,0,0
4.2,7.140000000000001,2,0,0
5.85,7.5562499999999995,3,0,0
25.5,-31.450000000000006,3,0,-1
25.5,29.0,3,0,0
17.700000000000003,31.150000000000002,6,0,0
8.5,21.8875,2,0,0
1.1,15.998,2,0,0
1.1,9.9,2,0,0
1.1,1.5583333333333336,2,0,0
1.6500000000000001,13.465384615384616,3,0,0
6.300000000000001,15.584210526315792,3,0,0
6.300000000000001,32.22162162162162,3,0,0
6.300000000000001,24.629411764705885,3,0,0
6.300000000000001,17.526315789473685,3,0,0
0.84,2.1599999999999997,2,0,0
3.4,4.816666666666666,4,0,0
2.55,2.8333333333333335,3,0,0
2.55,3.825,3,0,0
9.9,6.6000000000000005,2,0,0
4.949999999999999,9.292105263157893,3,0,0
4.949999999999999,11.632499999999999,3,0,0
4.949999999999999,17.874999999999996,3,0,0
1.26,10.645714285714288,3,0,0
1.26,4.8,3,0,0
1.26,0.84,3,0,0
1.26,10.26,3,0,0
8.850000000000001,28.70714285714286,3,0,0
13.950000000000001,34.34464285714286,3,0,0
2.5,3.3333333333333335,2,0,0
7.5,17.307692307692307,2,0,0
35.400000000000006,18.437500000000004,12,0,0
15.0,9.6875,12,0,0
90.0,138.48076923076923,72,0,-1
23.4,12.87,12,0,0
39.8,26.53333333333333,4,0,0
39.8,14.924999999999999,4,0,0
17.700000000000003,16.0125,6,0,0
15.0,11.931818181818182,12,0,0
15.0,7.395833333333333,12,0,0
15.0,7.34375,12,0,0
17.700000000000003,9.692857142857145,6,0,0
15.0,15.0,12,0,0
20.4,16.575,8,0,0
20.4,12.75,8,0,0
15.0,23.722941176470588,4,0,0
14.850000000000001,27.57857142857143,3,0,0
15.299999999999999,6.0562499999999995,6,0,0
17.700000000000003,10.325000000000001,6,0,0
17.0,11.9,4,0,0
17.700000000000003,17.700000000000003,6,0,0
17.4,23.94285714285714,12,0,0
15.0,36.0375,4,0,0
17.700000000000003,16.30263157894737,6,0,0
25.200000000000003,17.526315789473685,12,0,0
37.2,34.34464285714286,8,0,0
30.0,20.636785714285715,8,0,0
39.6,20.514,8,0,0
30.0,57.47153846153847,8,0,0
79.2,27.57857142857143,16,0,0
30.0,23.722941176470588,8,0,0
37.2,34.34464285714286,8,0,0
15.0,21.473478260869566,12,0,0
39.6,130.255,8,0,1
30.599999999999998,13.677272727272726,12,0,0
15.299999999999999,9.5625,6,0,0
17.4,31.381249999999998,12,0,0
17.4,10.5125,12,0,0
17.4,13.533333333333331,12,0,0
17.4,11.6,12,0,0
30.0,16.25,8,0,0
12.75,14.166666666666666,3,0,0
15.0,15.0,4,0,0
20.1,11.30625,6,0,0
20.1,15.792857142857144,6,0,0
19.9,26.53333333333333,2,0,0
19.9,16.583333333333332,2,0,0
17.4,16.529999999999998,12,0,0
212.0,22.90909090909091,200,0,-1
244.08,82.745,72,0,-1
144.0,144.0,600,0,-1
60.0,60.0,48,0,0
122.04,31.055,36,0,0
60.0,24.25,48,0,0
13.44,10.08,32,0,0
2.9,6.887499999999999,2,0,0
4.2,7.041176470588236,2,0,0
7.5,6.71875,6,0,0
15.0,5.0,12,0,0
60.0,16.704545454545453,48,0,0
1.95,29.19545454545455,1,0,0
4.25,2.5500000000000003,5,0,0
15.299999999999999,16.999999999999996,6,0,0
30.0,16.704545454545453,24,0,0
15.0,9.51923076923077,12,0,0
3.3,2.4749999999999996,2,0,0
3.3,3.3,2,0,0
3.3,3.3,2,0,0
8.5,8.5,10,0,0
4.2,2.94,10,0,0
5.9,9.692857142857145,2,0,0
2.5,7.34375,2,0,0
30.0,36.0375,8,0,0
7.5,10.714285714285714,6,0,0
30.599999999999998,57.871875,12,0,0
30.0,22.5,24,0,0
5.85,29.19545454545455,3,0,0
9.899999999999999,9.899999999999999,6,0,0
9.899999999999999,9.899999999999999,6,0,0
29.5,15.733333333333334,10,0,0
19.9,13.266666666666666,2,0,0
10.2,4.08,4,0,0
10.2,13.515,4,0,0
10.08,7.5600000000000005,24,0,0
6.72,10.08,16,0,0
30.0,15.25,24,0,0
15.0,4.25,12,0,0
30.599999999999998,4.08,12,0,0
13.200000000000001,9.55625,24,0,0
40.56,45.49677419354838,24,0,0
20.28,16.33666666666667,12,0,0
11.9,14.280000000000001,2,0,0
23.8,20.55454545454546,4,0,0
11.9,9.916666666666666,2,0,0
13.200000000000001,13.465384615384616,24,0,0
29.700000000000003,20.514,6,0,0
27.6,14.615625,8,0,0
11.9,17.255000000000003,2,0,0
15.9,15.9,2,0,0
30.0,44.614444444444445,24,0,0
17.4,13.533333333333331,12,0,0
8.5,8.5,2,0,0
3.3,3.3,2,0,0
8.5,6.375,2,0,0
4.949999999999999,4.949999999999999,3,0,0
1.65,1.65,1,0,0
4.25,4.25,1,0,0
12.75,12.75,3,0,0
4.25,4.25,1,0,0
1.95,15.3,1,0,0
1.95,47.352,1,0,0
13.52,45.49677419354838,8,0,0
2.95,31.150000000000002,1,0,0
1.65,8.58,1,0,0
3.25,15.6,1,0,0
5.9,8.1125,2,0,0
0.29,2.361428571428571,1,0,0
0.29,3.8988888888888886,1,0,0
1.25,13.461538461538462,1,0,0
1.25,11.625,1,0,0
